,message_id,message_text
20,2567,"Продолжаем хит-парад летних новинок. Лили-Роуз Депп не так давно стала амбассадором Chanel. На этот раз актриса  продемонстрировала линейку Jardin Imagin. 
Коллекция погружает в настроение этого сезона. 
#РоскошныеНовинки"
23,2564,"Товарищи, ну вы просили оценить кокосовое масло, я подобрал для вас варианты на любой бюджет. 
Кокосовое масло (именно хорошее, отборное и нужного отжима) прекрасно увлажняет и питает кожу, а также  усиливает загар. Это идеальный вариант для сухого типа кожи.  А вообще, чтобы не случилось раздражения и аллергии, достаточно применять продукт 2-3 раза в неделю. Итак, вот такие варианты я выбрал: 
 1 Косметическое кокосовое масло от DESTEK. Подойдет для лица, тела и волос. За 150 грамм цена вполне приемлема для стопроцентного натурального масла кокоса- 873 рубля. Кстати, в составе также витамины и полезные кислоты. 
 2 JAMES READ Self Tan Сухое кокосовое масло с эффектом загара COCONUT DRY OIL TAN BODY. Этот вариант уже нельзя назвать бюджетным, так как цена продукта за 100 мл составляет 4450 рублей со скидкой.  Подойдет для тех, кто не хочет ждать загар. Наносится без пятен, быстро впитывается и увлажняет кожу. Кстати, стойкость продолжительная.
 3 BEAUTY365 Масло кокосовое холодного отжима, нерафинированное. Нет приторного запаха, убирает сухость и стянутость кожи. За свой функционал цена-466 рублей. Не дорого, но эффективно! 
#РоскошныйВыбор"
26,2561,"Товарищи, пока ваше лицо окончательно не превратилось в изюм в этот палящий июль, рекомендую увлажняющую сыворотку от EISENBERG Serum Regenerant Liftant.  
Плюсы и преимущества: 
 1 Улучшает тон и текстуру кожи; 
 2 Быстро впитывается;
 3 Идеально подойдет под крем и макияж ;
 4 Нет липкости после нанесения;
 5 Прекрасно увлажняет и питает кожу.  
Честно признаюсь, я не так давно начал досканально изучать этот бренд и многими товарами остаюсь доволен. 
Со скидкой сейчас  сыворотку можно урвать за 8600 рублей. 
#РоскошныйВыбор"
29,2558,"Товарищи, ну что, вы просили, я рассмотрел и протестил скрабы для тела по вашим рекомендациям и просьбам. Нашёл и выбрал золото среди шлачины: 
 1 Бюджетный и кокосовый скраб за 437 рублей от THE ACT. Приятный по текстуре и запаху. Напоминает конфеты «Раффаэло». Не царапает кожу, мягкий  и не вызывает аллергических высыпаний после смывки, что очень важно. Кстати, продукт не тестируется на животных. 
 2 KUNDAL, который пизды всем дал. Тестировал скраб для тела Ирис Eau Thermale Leather Iris Scrub Body Wash. Цена средняя для скраба- 1349 рублей со скидкой.  После применения кожа очень гладкая, свою функцию выполняет. Единственное, что останавливает, это запах. Переживал, что будет пахнуть пахучкой для машины из нулевых. Так и вышло. Может быть есть любители таких ароматов. Из плюсов ещё  экономный расход, продукта хватит надолго. 
 3 
Мой фаворит- скраб от ELEMIS Лайм-Имбирь с солью.  Lime & Ginger Salt Glow. Здесь уже будет подороже сегмент-5940 рублей со скидкой. Текстура маслянистая, но при этом нюансе не оставляет раздражений. Кожа после применения гладкая и увлажненная. Кстати, аромат очень приятный. Ненавязчивый. В составе присутствует коллаген, что несомненно является плюсом.
Так что пополняем свои корзины и обновляемся…хо-хо💋
#РоскошныйВыбор"
30,2557,"Визажистка из Китая трансформирует  своего деда в персонажей аниме. 

Дед не просто выглядит молодо, сам грим до жути реалистичен. Думаю, он доволен, так как ролики с перевоплощениями взрывают интернет огромным количеством просмотров. Вы знаете, что делать со своим дедом… хо-хо 💋

#РоскошныйВыбор"
33,2554,"Ну что, товарищи, в жаркую пору нуждается  в увлажнении и охлаждении не только тело, но и особые зоны…Например, зона под глазами. Поэтому я составил топ- патчей на любой вкус, цвет и кошелек.
1: D`ALBA Патчи для области вокруг глаз White Truffle Intensive The Real Eye Patch.  Хватает на пару месяцев регулярного использования. Мастхэв для тех, кто уже родился с уставшим видом. Увлажняют кожу и убирают темные круги. По цене не особо дорого, но эта линейка косметики стоит каждой копейки - 2499 рубля.

2: Патчи для глаз гидрогелевые с муцином улитки и золотом от L.SANIC. Убирают отеки под глазами, идеально подходят для любителей освежающего пенного с рыбкой. По цене также недорого-1306 рублей 

3: DR. HEDISON Гидрогелевые патчи для глаз Vital Energy Ampoule Patch. Эта палочка-выручалочка с антиыозрастным эффектом. Не сползают и моментально впитывается сыворотка. Также патчи увлажняют и тонизируют кожу.  Этот вариант со скидкой сейчас можно урвать за 3500. 
И помните, я вам уже говорил, что патчи более эффективны в ОХЛАЖДЕННОМ варианте. Хо-хо💋

#РоскошныйВыбор"
37,2550,"Кто-то наслаждается летом, а кто-то уже продает осенние линейки. 
 Dior выпустили осеннюю коллекцию Map of Paris Makeup Collection Fall 2024. Линейка создана в честь Олимпийских игр в Париже. 

В ассортимент вошли четыре новых палетки теней для век Diorshow 5 Couleurs Couture Eyeshadow, два уже существующих оттенка бархатно-матовой губной помады Dior Rouge Dior Velvet Lipstick и два новых оттенка сатиновой губной помады Dior Rouge Dior Satin Lipstick. Также  в осеннюю линейку включены футляр для кушона Cushion Case и колпачок для губной помады Lipstick Case в лимитированном дизайне.
#РоскошныйВыбор"
45,2542,"MAC в честь своего 40-летия решил удивить поклонников и вернул 8 оттенков помад, которые были сняты с производства. 
Линейка  Lipstick Bringbacks уже в продаже. Говорят, что некоторые оттенки полностью распроданы. 
#РоскошныеНовинки"
55,2532,"Наташа Денона выпустила новую коллекцию Natasha Denona Golden Collection. 
В линейке представлены: палетка теней из 15 роскошных оттенков, палетка с хайлайтером  из трех золотистых оттенков с глянцевым финишем и масляно-глянцевый блеск.
Ну что могу сказать, оттенки очень приятные, надо смотреть вживую. Мало ли пиздят нам со своим фотошопом? А мы уже ученые этой жизнью. Вывозим на опыте..Хо-хo💋
#РоскошныеНовинки"
63,2524,"Flowerknows создали и выпустили сказочную летнюю коллекцию. 

Лимитированная линейка получила название «Midsummer Fairytales». В набор вошли: румяна в 5-ти нежных оттенках, три палетки теней, глянцевые помады-лаки для губ в 9 оттенках, бальзам для снятия макияжа, ручные зеркала, палетки теней для бровей в 3 вариантах,консиллеры в четырех вариантах и парфюмы с двумя ароматами. По классике завершают коллекцию аксессуары для волос.
Хочется почувствовать себя феей Динь-динь, а не это всё. Хо-хо💋
#РоскошныеНовинки"
66,2521,"Товарищи, я тут подумал и решил, что в сезон ураганов и смерчей надо бы подумать о спреях с термозащитой. А почему бы и нет? Обычная история-утром собираемся, выпрямляемся и хочется, чтобы продукт был качественным. Натестировал разных ценовых сегментов, теперь существую с девизом #спасибочтоживой.  Ну да ладно, вот что я могу сказать: 

 1.Спрей 17 в 1 от Likato. Знаю, вы долго ждали моего мнения на этот продукт. Мне есть что сказать. Средство неплохо защищает волос от высокой температуры ( выпрямлять супер, блеск остается и волосы не похожи на тусклое сено). Неплохо пахнет. Но есть ощущение, что это разбавленный кондиционер-бальзам, так как средство очень быстро становится густым и как раз по консистенции напоминает данную историю. Цена небольшая- около 200-300 рублей. 

 2 
EPICA PROFESSIONAL Спрей разглаживающий для волос с термозащитным комплексом Silk Surface.
Оставляет естественный блеск на волосах, подойдет и сухому типу, так как хорошо увлажняет. И немаловажный плюс-нет склеивания.
Здесь чуть подороже- 760 рублей. Но как бы тоже неплохо. 

3 LAKME Спрей термозащитный для волос FRIZZ CONTROL
Это палочка-выручалочка от ебучих пушков на голове, которые каждый раз показывают этому миру, как они растут. 
Волосы становятся мягкими, блестящими. Из вопросов- запах. Напоминают какие-то очень старые винтажные бабкины духи. Не скажу, что это плохо, но для некоторых возможно это окажется ключевым моментом при покупке. Так что обратите на это внимание. Сам по себе спрей достаточно легкий. По цене он тут самый дорогой -2083 рубля. 

А какой из этих товаров пробовали вы? Что можете сказать? Есть среди данного списка ваш термозащитный фаворит? Хо-хо 💋
#РоскошныйВыбор"
68,2519,"Товарищи, ну я просто в восторге! Только посмотрите какой парфюмерный экстаз у меня тут 👉🏼 от @letoileofficial. Линейка ароматов на любой вкус от [ANTONIO MARETTI.](https://www.letu.ru/brand/antonio-maretti?utm_source=tg&utm_medium=blogger&utm_content=post&utm_term&utm_campaign=pr_zhidkovskiy_beauty_july_1_24&erid=LjN8KbZbF) Реально на любой! Повелся я, конечно же, на коробку, все так дорого, бархат… ореховое дерево. Но и с ароматами не прогадал! 
Особенно удово-пудровый [с ](https://www.letu.ru/product/antonio-maretti-uncensored-cherry/153700898)[нотками вишни](https://www.letu.ru/product/antonio-maretti-uncensored-cherry/153700898?utm_source=tg&utm_medium=blogger&utm_content=post&utm_term&utm_campaign=pr_zhidkovskiy_beauty_july_1_24) и [guilty pleasure.](https://www.letu.ru/product/antonio-maretti-guilty-pleasure/153700901?utm_source=tg&utm_medium=blogger&utm_content=post&utm_term&utm_campaign=pr_zhidkovskiy_beauty_july_1_24) Линейка новая, но я уже фанат, несмотря на относительно небольшой ценник (от 6 до 12 за флакон) ароматы - дорогие! А мы такое любим. Выбрать полюбившийся и приобрести его можно по ссылочке [тут.](https://www.letu.ru/brand/antonio-maretti?utm_source=tg&utm_medium=blogger&utm_content=post&utm_term&utm_campaign=pr_zhidkovskiy_beauty_july_1_24) Обратите внимание что некоторые ароматы названы в честь мировых голливудских звезд. Прикольно. Вобщем хайли рекоменд, не забудьте про промокод [КОТОАЛЕКСЕЙ](https://www.letu.ru/promo/14240038?utm_source=tg&utm_medium=blogger&utm_content=post&utm_term&utm_campaign=pr_zhidkovskiy_beauty_july_1_24) и [черную пятницу!](https://www.letu.ru/promo/14210001?utm_source=tg&utm_medium=blogger&utm_content=post&utm_term&utm_campaign=pr_zhidkovskiy_beauty_july_1_24) 💋 хо-хо

Реклама. ООО «Алькор и Ко»
ОГРН: 1027739498324
Юр.адрес: 119261, город Москва, Ленинский проспект, д.72/2"
70,2517,"Louis Vuitton выпустили  необычную парфюмерную книгу. 
Она состоит из 380 страниц, в которых описывается сырье для создания парфюма и их территориальные местонахождения. 
Также вместе с книгой у бренда вышел бокс с 45-ю ароматами из печатного издания  за $5000.  
#РоскошныеНовинки"
74,2513,"Max Factor- путь успеха. 

Макс Фактор внёс огромный вклад в развитие косметики и  макияжа, изобрёл инновационные на тот момент средства.
Максимилиан Факторович (это  реальное имя  известного бизнесмена) начал свой косметический путь с маленького магазина в Рязани. Он работал в парикмахерской и одновременно  предлагал косметику,парики Рязанским модницам. Как и многим безумным гениям, ему в голову пришла идея расширяться и заявить о себе всему миру. 
Именно Макс Фактор вводит термин: «make up», создаёт калибратор (именно он помогал исправлять асимметрию с помощью макияжа). Постепенно он покоряет  Голливуд - среди его клиентов были именитые дивы. И позже  рождается набор для студентов, включающий в себя все необходимые средства для роскошного макияжа. 
В 1930-х годах такие громкие киностудии как Paramount, 20th Century Fox, Radio Pictures, Metro Goldwyn Mayer, Columbia и Warner Brothers заключали  контракт на продвижение продукции Факторовича с символическим вознаграждением в $1. 
Однако его косметику раскупали мгновенно за счет рекламы голливудских актрис и актеров. Таким образом компания на много лет обеспечила себе многомиллионный оборот. 
#РоскошныеИстории"
77,2510,"Бейонсе запустила собственную линию косметики для волос CECRED. На её разработку ушло 6 лет. Получается, они запустились одновременно с Рианной? Интересно, чей бренд выиграет эту битву . Хо-хо💋
#РоскошныйВыборЗвёзд"
78,2509,"Celine запускает линию косметики.

Бренд объявил, что уже осенью 2024 года будет выпущена первая помада 01 Rouche
Triomphe. К началу 2025 года коллекция пополнится еще 14-ю продуктами с сатиновым финишем. Выглядит в стилистике бренда, но приятно только на фото, думаю в жизни это будет сложно «секунду назад прямиком из жопы»…
#РоскошныеНовинки"
79,2508,"А у нас повеяло новым бьюти-скандалом. 
Кайли Дженнер в своих соцсетях прорекламировала  румяна в стике собственного косметического бренда.  Ничего не напоминает? Помнится, что Хэйли Бибер и её бренд Rode продемонстрировали всем чудо-румяна в стике в идентичной упаковке. Как вы думаете, скандал неизбежен? Хо-хо💋
#РоскошныйВыборЗвёзд"
80,2507,"Если вы ещё не видели самые мистические тени, то вот-получите, распишитесь. Коллекция жидких теней для век «Cause of Death» представлена не в самой привычной упаковке. 

Тени находятся в напоминающих ножи футлярах, а саму упаковку сделали в виде гроба. Прелесть, правда?

Кстати, продукт пользуется популярностью в сети и их быстро раскупают 😏 
#РоскошныеНовинки"
83,2504,"Ну что, мои женственные девочки и очаровательные мальчики.  В такое пекло не только лицо нуждается в увлажнении, но и губы. Чтобы они не были похожи на пожёванную  курагу или бабкин чернослив, я нашел  и составил топ опробованных мной  бальзамов для губ на летний сезон, которые многие из вас могли не знать😏
1 EISENBERG Бальзам для губ Fusion Balm. Отлично увлажняет, питает кожу, оставляет приятный оттенок и запах.  Симпатичный дизайн. Цена-3314 рублей. 
 2. LA ROCHE-POSAY Cicaplast Levres Восстанавливающий и увлажняющий бальзам для губ с пантенолом и маслом ши.  Данный продукт действительно увлажняет, питает губы и восстанавливает их. Если у вас дурацкая привычка грызть и кусать губы- этот продукт для вас.  Кстати, цена очень даже небольшая- 435 рублей.
 3. RUSSIAN BEAUTY GURU Бальзам для губ Черная Москва. Упаковка на магните и приятно щелкает (а вы знаете как я это люблю). Запах газировки, странный, но терпимый. Оставляет холодный прозрачный оттенок, не скатывается. Свой функционал выполняет. Цена-699 рублей. 
В общем пользуйтесь, заказывайте и сохраняйте 💋хо-хо 
#РоскошныйВыбор"
85,2502,"Настоящий must-have на лето — это использование сывороток для кожи. Омолаживающая сыворотка с витамином С — мой выбор в уходовой косметике в жаркое время года, когда кожа получает дополнительный стресс. Предотвратить фотостарение помогает сыворотка от российского бренда уходовой косметики I’M PERFECT, разработанном косметологами. Сыворотка придает коже здоровое сияние, повышает упругость и помогает противостоять ультрафиолету. Пептид Progeline в составе обеспечивает антиоксидантную защиту и глубоко восстанавливает липидный барьер кожи. 

Ознакомиться с брендом и заказать сыворотку можно по ссылке: https://www.wildberries.ru/catalog/202425043/detail.aspx?targetUrl=GP&size=326447103

__Реклама ООО «ИМПРЕCИВ БЬЮТИ»; ИНН: ____9717146610____;
Erid: 2VfnxvMvNhN__"
91,2496,"Ну что, мои женственные девочки и не менее очаровательные мальчики😏сегодня мы разберем линейку [SashaPure](https://www.letu.ru/brand/sashapure?utm_source=tg&utm_medium=blogger&utm_content=post&utm_term&utm_campaign=pr_zhidkovskiy_beauty_june_1_24&erid=LjN8KNYNi),  которую мне посоветовали, как укрепляющую. Особенно это нужно в летний сезон, смотрим и запоминаем: 

[Укрепляющий шампунь](https://www.letu.ru/product/sashapure-ukreplyayushchii-shampun-dlya-volos/111001305?utm_source=tg&utm_medium=blogger&utm_content=post&utm_term&utm_campaign=pr_zhidkovskiy_beauty_june_1_24). Не содержит сульфатов, распутывает волосы и увлажняет. Насыщен омега, витаминами, аминокислотами. Кстати, важный факт- не тестируется на животных. Волосы от него блестят не хуже, чем в рекламе🤍

[Кондиционер для волос](https://www.letu.ru/product/sashapure-ukreplyayushchii-konditsioner-dlya-volos/111001306?utm_source=tg&utm_medium=blogger&utm_content=post&utm_term&utm_campaign=pr_zhidkovskiy_beauty_june_1_24). Отличная находка для тех, кто постоянно выпрямляет волосы и подвергает их всяческой термической укладке ✅

[Разглаживающая сыворотка](https://www.letu.ru/product/sashapure-syvorotka-razglazhivayushchaya-dlya-uhoda-za-volosami/111001308?utm_source=tg&utm_medium=blogger&utm_content=post&utm_term&utm_campaign=pr_zhidkovskiy_beauty_june_1_24). Идеально смягчает и выпрямляет волосы, обеспечивая защиту от повреждений.  Мастхэв для тех, у кого непослушные волосы⭐️

[Эликсир для ухода за волосами](https://www.letu.ru/product/sashapure-eliksir-dlya-uhoda-za-volosami-kozhei-golovy-i-litsa-3v1/111001309?utm_source=tg&utm_medium=blogger&utm_content=post&utm_term&utm_campaign=pr_zhidkovskiy_beauty_june_1_24), кожей головы и лица 3в1.  Находка для тех, у кого осветленные и тонкие волосы.  После применения на волосы чувствуется эффект, будто после процедуры ботокса. 
Имеет приятнейший травяной аромат 💖

[Восстанавливающая маска](https://www.letu.ru/product/sashapure-vosstanavlivayushchaya-maska-dlya-volos-s-effektom-konditsionirovaniya/111001307?utm_source=tg&utm_medium=blogger&utm_content=post&utm_term&utm_campaign=pr_zhidkovskiy_beauty_june_1_24) для волос с эффектом кондиционирования. Отлично увлажняет, питает и укрепляет волосы, делает их упругими. Приятнейший аромат. Экономный расход, так что хватит надолго 💫

В общем товарищи, что могу сказать, вся линейка сейчас очень важна, в особенности тем, кто планирует отпуск на морском побережье, дабы не превратить свою шевелюру в моток сена. Приобретаем и пользуемся с удовольствием,тем более что в 
@letoileofficial 8 марта! А значит по промокоду [АЛЕКСЕЙЛЭТУ](https://www.letu.ru/promo/14060006?utm_source=tg&utm_medium=blogger&utm_content=post&utm_term&utm_campaign=pr_zhidkovskiy_beauty_june_1_24) вы получаете скидку в 1800 набрав на 5000
Такие дела💋 Хо-хо

Реклама. ООО «Алькор и Ко»
ОГРН: 1027739498324
Юр.адрес: 119261, город Москва, Ленинский проспект, д.72/2"
92,2495,"Бренд Laneige выпустил маску для губ с ароматом арбуза.

Упаковка выглядит как настоящий арбуз, внутри которого  вкусная и сладкая сердцевинка. Ну что я могу сказать, креативно, а креатив мы любим, обожаю их продукцию, на ночь жирным слоем и на утро просто 🔥 💋хо-хо
#РоскошныеНовинки"
93,2494,"История создания легендарного флакона духов Salvador Dali 1985 года. 
В начале 1980-х француз Жан-Пьер Гривори решил выпустить собственные духи с мощной арт-концепцией. А партнером  выбрал великого художника-сюрреалиста Сальвадора Дали. Гривори несколько раз пытался связаться с художником и рассказать ему о деле. Попытка удалась только с третьего. Уже в 1985-м вышел цветочный аромат Salvador Dali в неординарном флаконе в форме губ и носа, взятых с картины Дали «Явление лица Афродиты Книдской на фоне пейзажа». Кстати, сам парфюм содержит в себе ароматы базилика и бергамота, жасмина, фруктов, кедра, сандала и амбры.
#РоскошныеИстории"
94,2493,"Ну что, мои женственные девочки и не менее очаровательные мальчики 😏Ваш папка декаданса нашел для вас предложение, мимо которого точно не стоит проходить. 

Оформите виртуальную или пластиковую карту [Ozon Банка](https://t.me/ozon_bank_official), подключайтесь к новой программе лояльности “Товары за 1 рубль на Ozon” в личном кабинете банка или [по ссылке тут](https://s.ozon.ru/7k5kBpW?erid=2VtzqvVNkBy) и оплачивайте ею что угодно вне Ozon. Чем больше покупок совершаете, тем больше товаров за 1 рубль будет доступно!  

Я уже нахватал новой посуды от [Villeroy&Boch](https://www.ozon.ru/product/blyudo-ovalnoe-flow-47-sm-villeroy-boch-premium-farfor-1047266994/?_bctx=CAYQo6lR&asb=0dhahxV01pDt9NoBKj3M9M5qfvFr9WOxvd2ApTXTjFg%253D&asb2=4xCPXNtUFxfKFcf6NhUt7PuEgwnPQ3uhGTzXWSvcUh5RGi8BQAT3HYoSrzTO_L-XOmcPz42quLEqxV9G3R3fbw&avtc=1&avte=2&avts=1718708493&keywords=%D0%B1%D0%BB%D1%8E%D0%B4%D0%BE+%D0%BE%D0%B2%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B5&erid=2VtzqvVNkBy) и одежду для Миши и Стеши! 
Не зевайте, бегом по ссылке 🔗 хо-хо 💋

Реклама. ООО «ОЗОН Банк», finance.ozon.ru
16+
erid: 2VtzqvVNkBy"
97,2490,"Товарищи, ну что,  отсмотрел и опробовал для вас сыворотки для лица, рекомендую два варианта: 

1)ESTEE LAUDER Мультифункциональная восстанавливающая сыворотка Advanced Night Repair. 
Быстро впитывается, выравнивает тон кожи и делает её более гладкой. Не оставляет липкости, убирает серость этих будней и следы прожитого. По цене сейчас -5500 рублей. 
 
2)EISENBERG Сыворотка для области вокруг глаз The Eye Serum.  
Имеет восстанавливающий эффект. Мгновенно впитывается, хорошо увлажняет. Если средство поставите перед нанесением в холодильник, будет более эффективно. Однако если у вас бесконечное выражение лица с претензией к этому миру- тут бесполезно. По цене сейчас 4400. В общем данные товары приобретайте смело, рекомендую. Хо-хо💋
#РоскошныйВыбор"
