,message_text,clean_text,cluster,cluster2
10,"Новый бутик CASA LOEWE в Сеуле (Корея) объединяет искусство и моду.

Работа корейской художницы и победительницы премии LOEWE FOUNDATION Craft Prize 2022 года Дахе Чон «Время искренности» создана из конского волоса с использованием 500-летней техники изготовления шляп, что позволяет достичь баланса точности, прозрачности и легкости. 

Бамбуковая инсталляция Танабэ Чикуунсая IV «Источник творения», поднимающаяся через центр пространства, символизирует взаимодействие моды и искусства, двух сфер творчества, представленных бамбуковыми цилиндрами, поднимающимися через CASA и срастающимися в одно целое. 

Работа финалиста премии LOEWE FOUNDATION Craft Prize 2019 года Ён Суна Ли «Cocoon Top series-1» высотой почти два метра изготовлена из корейской шелковичной бумаги и состоит из восьми сложенных друг на друга корзин, демонстрируя взгляд художника на форму и красоту ручной работы.",новый бутик   сеул корея объединять искусство мода работа корейский художница победительница премия     2022 дах чон «время искренности» создать конский волос использование 500летний техника изготовление шляпа позволять достигнуть баланс точность прозрачность лёгкость бамбуковый инсталляция танабэ чикуунсай  «источник творения» подниматься центр пространство символизировать взаимодействие мода искусство сфера творчество представить бамбуковый цилиндр подниматься  срастаться один целое работа финалист премия     2019 ён суна «  1» высота метр изготовить корейский шелковичный бумага состоять восемь сложить друг друг корзина демонстрировать взгляд художник форма красота ручной работа,5,0
11,"Новый аромат Afternoon Delight Eau de Toilette – Replica

Запечатлевает воспоминания об удовольствиях, переносит вас в парижское кафе, где воздух наполняет бодрящий аромат теплой выпечки и сахара. Аккорд мадлен смешивается с древесными нотами сандалового дерева, взбитой ванили и мускуса, создавая насыщенный и сливочный унисекс-аромат.",новый аромат      –  запечатлевать воспоминание удовольствие переносить парижский кафе воздух наполнять бодрящий аромат тёплый выпечка сахар аккорд мадлен смешиваться древесный нота сандаловый дерево взбить ваниль мускус создавать насыщенный сливочный унисексаромат,5,0
12,"Новая палетка теней для век OG Naked от Urban Decay - да, они все ещё существуют 

Возвращается она по многочисленным просьбам в ограниченном количестве, культовые 12 нейтральных теней для век в ультрагладких матовых, мерцающих металликах, мерцающих и бархатистых атласных оттенках за 59$",новый палетка тень век     существовать возвращаться многочисленный просьба ограниченный количество культовый 12 нейтральный тень век ультрагладкий матовый мерцать металлик мерцать бархатистый атласный оттенок 59,3,6
13,"Девы (и не только!) у меня отличнейший рекомендасьон для вас сегодня. 

Если вы вдруг, а я уверена сейчас все попадаются на эту проблему – что-то заказать и купить в Европе, а доверять непонятно кому страшно, то это информация для вас – прекрасная Дарья персональный шоппер, которая живет в Италии, [работает](https://t.me/dasha_will_buy) с огромным количеством мультибрендов! 

За счет большого потока заказов у Даши есть возможность попадать на закрытые сейлы и личные скидки. Например, я в свое время помню, когда Matchesfashion присылал тебе коды на 50% скидку, когда ты был их постоянным клиентом 🥹

Даша все выкладывает в свой телеграм канал, очень удобно следить что там происходит в магазинах в Европе, пока там есть свой человек 💗

Если вдруг вам что-то понадобится купить или заказать, то настоятельно рекомендую вам Дарью под свою ответственность 😌


**КАНАЛ ДАШИ 🤗 **
https://t.me/dasha_will_buy",дева отличный рекомендасьон уверить попадаться проблема – чтоть заказать купить европа доверять непонятно страшно информация – прекрасный дарья персональный шоппер жить италия работает огромный количество мультибренд счёт большой поток заказ даша возможность попадать закрытый сейл личный скидка например помнить  присылать код 50 скидка постоянный клиент 🥹 даша выкладывать свой телеграм канал удобно следить происходить магазин европа свой чтоть понадобиться купить заказать настоятельно рекомендовать дарья ответственность канал даша 🤗 ,0,0
14,"Когда вышла замуж за миллионера, родила ему 8 детей, следишь за всем хозяйством на ферме, готовишь и ведёшь блог на аудиторию 9 миллионов, а он тебе дарит на др ФАРТУК ДЛЯ ЯИЦ 😱 🙀

Его семья буквально владеет авиалиниями, отвезите девушку в Грецию блять 😅😅😅😅",выйти замуж миллионер родить 8 ребёнок следить хозяйство ферма готовить вести блог аудитория 9 дарить др фартук яйцо семья буквально владеть авиалиния отвезти девушка греция блядь ,5,0
15,"Давно не было моей любимой рубрики - подборок на #Lamoda Lamoda, в этот раз собрала несколько платьев, которые нужно успеть прогулять до конца лета 🤗💓

[Первое](https://www.lamoda.ru/p/XD001XW00J9K/) и [второе,](https://www.lamoda.ru/p/MP002XW1C4TG/) но в разных оттенках от Top Top, я взяла розовое, оно классно подойдут по длине, если у вас рост 160-165 😌 

[Длинный сарафан](https://www.lamoda.ru/p/MP002XW13JAM/) с открытой спиной, мне понравился в голубом оттенке, но он есть в разных вариантах 😘

Это пляжное [платье Sea Folly давно](https://www.lamoda.ru/p/RTLADC944401/) держу у себя в вишлисте, можно без проблем носить в городе в жаришку! 

И моё [любимое платье,](https://www.lamoda.ru/p/MP002XW14AMF/) которое я [показывала](https://t.me/kosmetos/23377) уже, появилось во всех размерах (у меня размер S)

__По хештегу ____#Lamoda____ можно посмотреть все мои подборки, и как обычно, используйте мой промокод KOSMETOS на скидку 15% на кучу товаров 😌💓__",мой любимый рубрика подборка   собрать платье успеть прогулять конец лето 🤗 первое001009 второе00214 разный оттенок   взять розовый классно подойти длина рост 160165 длинный сарафан00213 открытый спина понравиться голубой оттенок разный вариант пляжный платье   давно944401 дерзить вишлист проблема носить город жаришка любимый платье00214 который показывала23377 появиться размер размер  хештег  посмотреть подборка использовать промокод  скидка 15 куча товар ,0,0
16,"Новая тушь EXAGGER-EYES Volume от Сharlotte Тilbury 

Не размазывается, не осыпается, не образует комочков и устойчива к влажности. Более крупные, густые, длинные ресницы и ультраизогнутая щеточка для укладки ресниц, которая разделяет каждую ресничку, обеспечивая мгновенный объем и изгиб от корней до кончиков. Дизайн, вдохновленный элегантностью эпохи ар-деко.",новый тушь   с т размазываться осыпаться образовать комочек устойчивый влажность крупный густой длинный ресница ультраизогнутый щёточка укладка ресница разделять каждый ресничка обеспечивать мгновенный объём изгиб корень кончик дизайн вдохновить элегантность эпоха ардёкий,5,0
17,"Celine Beauté расширяет свою косметическую линию и теперь занимается декоративной косметикой! Включает категорию для губ «Le Rouge Celine», а также классическую помаду «Rouge Triomphe» с атласным финишем, украшенную золотом и тисненым логотипом CELINE, в 15 оттенках. Палитра, кожаный футляр для губ, зеркала, тонированные бальзамы для губ, тушь, пудры для лица, подводки для глаз, карандаши для глаз, лак для ногтей и многое другое поступят в продажу в январе.", é расширять косметический линия заниматься декоративный косметика включать категория губа «  » классический помада « » атласный финиш украсить золото тиснёный логотип  15 оттенок палитра кожаный футляр губа зеркало тонировать бальзам губа тушь пудра лицо подводка глаз карандаш глаз лак ноготь многое поступить продажа январь,6,6
18,"Sabrina Carpenter выпускает новый аромат 🍒✨Cherry Baby 

«Я бы сказал, что этот аромат было труднее всего подобрать правильно, потому что нам нужно было почувствовать запах настоящей вишни» 49$

Будет доступно 25 июля на ее сайте.",  выпускать новый аромат ✨  «я аромат трудный подобрать правильно почувствовать запах настоящий вишни» 49 доступно 25 июль сайт,5,0
19,"Новые гелевые подводки для глаз и маркеры The Border Line от Rem Beauty 

✨Гель-карандаш для глаз At The Border Line — 19$ Водостойкая, долговечная ультрагладкая формула для четких линий и точной детализации. В 10 оттенках.

 ✨Гель-маркер для глаз The Border Line. 20$ Более тонкий фетровый кончик и насыщенный пигмент в 4 оттенках. Веганский.

Будет доступно 30 июля.",новый гелевый подводка глаз маркер      ✨гелькарандаш глаз     — 19 водостойкий долговечный ультрагладкий формула чёткий линия точный детализация 10 оттенок ✨гельмаркер глаз    20 тонкий фетровый кончик насыщенный пигмент 4 оттенок веганский доступно 30 июль,3,6
20,"Новая палетка Appley In Love от Too Faced 

Вдохновленная яблоками палетка с нейтральными, красными, зелеными и теплыми карамельными оттенками с различными финишами в кремовой, легко растушевываемой формуле.  18 оттенков пахнут карамельными яблоками. 54$",новый палетка      вдохновить яблоко палетка нейтральный красный зелёный тёплый карамельный оттенок различный финиш кремовый легко растушёвывать формула 18 оттенок пахнуть карамельный яблоко 54,3,6
21,"Новая коллекция губных помад Explicit Satin Lipstick от Nars 

Атласная помада, обеспечивающая длительный комфорт, яркий цвет и кремовую. Точный кончик помогает определить, контурировать и моделировать губы. Лёгкое, от среднего до полного покрытия, с разглаживающим маслом семян шиповника и гиалуроновой кислотой для удержания влаги, в многоразовом футляре. 40$",новый коллекция губный помада     атласный помада обеспечивать длительный комфорт яркий цвет кремовый точный кончик помогать определить контурировать моделировать губа лёгкий среднее полный покрытие разглаживать масло семя шиповник гиалуронов кислота удержание влага многоразовый футляр 40,3,6
22,"**Совет на 2024 год — инвестируйте в недвижку Эмиратов.** Это доход в стабильной валюте, 0% налогов и безбедная старость. 

**Чтобы получать прибыль уже в этом году, а не через пару десятков лет —** держите в подписках Андрея Негинского [neginskiy_uae](https://t.me/+LRu9ZM_l8v9hYzcy) (уже 62.000 человек). Там 4 раза в неделю появляется новый вариант сразу со стоимостью.

С этим каналом вы будете зарабатывать в пассиве 6-10% годовых в долларах и вам даже не придется самостоятельно искать арендаторов.

В ближайшие 24 часа Негинский [neginskiy_uae](https://t.me/+LRu9ZM_l8v9hYzcy) составит бесплатную подборку проектов с расчетом доходности каждому, кто подпишется на канал и нажмет на кнопку в закрепе.",совет 2024 — инвестировать недвижок эмират доход стабильный валюта 0 налог безбедный старость получать прибыль пара десяток — держать подписка андрей негинский 989 62000 4 раз неделя появляться новый вариант сразу стоимость канал зарабатывать пассив 610 годовой доллар прийтись самостоятельно искать арендатор близкий 24 час негинский 989 составить бесплатный подборка проект расчёт доходность каждый подписаться канал нажать кнопка закрепа,5,0
23,"Уууу какие новости сегодня весь день обсуждаем, Бакальчук, ее муж и Кадыров и один большой жирный развод 🫨

https://www.forbes.ru/biznes/517421-eto-razvod-bakal-cuk-otreagirovala-na-soobsenia-o-rejderskom-zahvate-wildberries?utm_source=forbes&utm_campaign=interesting-today",уууа какой новость обсуждать бакальчук муж кадыров большой жирный развод 🫨 517421,5,0
24,"Любимое Золотое Яблоко празднует свой др и готовит кучу подарков всем 💗

Если вы хотели сделать онлайн-заказ, то сейчас самое время, потому что куча скидок до -60% 💓 

А если сделать покупку от 5000₽, то можно участвовать в розыгрыше крутейших бьюти-боксов 💫

Кстати, некоторые мои любимые продукты и бренды можно купить в ЗЯ, я писала вчера в отдельный пост! 😋 Например, [карандаш](https://goldapple.onelink.me/jLXC/oihcw14n) для губ в оттенках 353 и 318 и [праймер](https://goldapple.onelink.me/jLXC/blryiy3u) для губ Inglot 💓 А так же, не упущу возможность наконец заказать бренд [Simihaze](https://goldapple.onelink.me/jLXC/e62me36r) (взяла бальзам для губ и кремовый бронзер для лица) который представлен только в @goldapple 😝",любимый золотой яблоко праздновать свой др готовить куча подарок хотеть сделать онлайнзаказ самый куча скидка 60 сделать покупка 5000₽ участвовать розыгрыш крутый бьютибокс кстати некоторый любимый продукт бренд купить зя писать вчера отдельный пост например карандаш14 губа оттенок 353 318 праймер3 губа  упустить возможность заказать бренд 6236 взять бальзам губа кремовый бронзер лицо представить  ,6,0
25,"Meta Марка Цукерберга рассматривает 5-процентную долю в материнской компании Supreme.
 ⁠
Если сделка состоится, Цукерберг, как сообщается, будет ориентироваться на более молодую аудиторию с помощью умных очков Meta бренда Supreme 👀⁠ Когда бумер пытается омолодиться засчёт подростков...", марк цукерберг рассматривать 5процентный доля материнский компания  ⁠ сделка состояться цукерберг сообщаться ориентироваться молодой аудитория помощь умный очко  бренд  ⁠ бумереть пытаться омолодиться засчёт подросток,5,0
26,"Новинки линейки Porefessional от Benefit Cosmetics 

 Включает в себя: 
 ✨Матовый праймер Porefessional. Матирующее средство мгновенно впитывает излишки масла, обеспечивая стойкий результат. С ниацинамидом, витамином B3, шиповником. 

 ✨Мини-пудра Porefessional Power Powder. Сверхтонкая рассыпчатая пудра закрепляет макияж и размывает поры. Шелковистая формула невесомо скользит по коже, создавая естественно матовое покрытие.",новинка линейка    включать ✨матовый праймера  матировать средство мгновенно впитывать излишек масло обеспечивать стойкий результат ниацинамид витамин 3 шиповник ✨минипудра    сверхтонкий рассыпчатый пудра закреплять макияж размывать пора шелковистый формула невесомый скользить кожа создавать естественно матовый покрытие,3,5
27,"Хочу напомнить вам, что целлюлит – это нормально, и он может возникнуть у людей любого типа телосложения и веса, в том числе у спортсменов. Не позволяйте стандартам красоты определять вашу самооценку 🙏🏻",хотеть напомнить целлюлита – нормально возникнуть человек любой тип телосложение вес число спортсмен позволять стандарт красота определять ваш самооценка ,5,0
28,"Новые продукты Make Up For Ever:

 🤎Палитры теней для век Mini Artist To Go 32$

 💄Rouge Artist For Ever Satin & Matte Lipstick — 28$ кремовая, высокопигментированная губная помада с мягким и невесомым ощущением, обеспечивающая комфортное ношение до 16 часов. 8 оттенков с сатиновым финишем. 12 оттенков с матовым финишем.",новый продукт     🤎палитра тень век     32        — 28 кремовый высокопигментировать губный помада мягкий невесомый ощущение обеспечивать комфортный ношение 16 час 8 оттенок сатиновый финиш 12 оттенок матовый финиш,3,6
29,"Новые продукты для лица о. prada 

Включает в себя:
✨Фиксирующая пудра 90$.
Невесомая восстанавливающая пудра-фиксатор, которая обеспечивает мгновенный матовый эффект, контролируя блеск в течение всего дня.

 ✨Refine Blurring - праймер $50. Мгновенно размывает поры и минимизирует видимость тонких линий, обеспечивая гладкую кожу, эффект мягкого фокуса и безупречное нанесение, насыщен комплексом кислот AHA + BHA + LHA и пантенолом, минимизирует потерю воды, увлажняет кожу.",новый продукт лицо  включать ✨фиксировать пудра 90 невесомый восстанавливать пудрафиксатор обеспечивать мгновенный матовый эффект контролировать блеск течение день ✨  праймера 50 мгновенно размывать пора минимизировать видимость тонкий линия обеспечивать гладкий кожа эффект мягкий фокус безупречный нанесение насыщенный комплекс кислота    пантенолом минимизировать потеря вода увлажнять кожа,3,5
30,"Новые ароматы Born In Roma от Valentino 

 ✨Born in Roma The Gold Donna. Аромат, вдохновленный ярким цветом золота с солнечными и теплыми нотами. Верхняя нота: итальянский мандарина.
Нота сердца: аккорд золотой гардении. Базовая нота: солнечный аккорд кокоса.

 ✨ Born in Roma The Gold Uomo. Вдохновлен ярким цветом золота с солнечными и пряными нотками. Верхняя нота: смесь специй. Нота сердца: эссенция кедра из Вирджинии. Базовая нота: амбровый аккорд ванили.",новый аромат     ✨      аромат вдохновить яркий цвет золото солнечный тёплый нота верхний нота итальянский мандарин нота сердце аккорд золотой гардения базовый нота солнечный аккорд кокос ✨       вдохновить яркий цвет золото солнечный пряный нотка верхний нота смесь специя нота сердце эссенция кедр вирджиния базовый нота амбровый аккорд ваниль,5,0
31,"Немного расскажу про мои последние фавориты в декоративной косметике, которые использую каждый день!

💓 BB cream от Eva Mosaic, у меня чуть более темный оттенок 2: шикарно выглядит на коже, не забивает поры, очень красивый ровный тон и главное чуть темнее, чем тон моей кожи! На загар идеально! 

💓 Очень понравились с последней интеграции с Eva mosaic эти моно тени, у меня в нескольких оттенках, самый красивый и базовый теплый блестящий оттенок номер 25. Очень красиво смотрится! Напоминает моно тени от Наташи Деноны

💓 Кремовые румяна от Art–Visage буду теперь собирать, у меня тон 1 и 2, наносится без пятен и тд! 

💓 Мятный плампер для губ от Be young, наношу его когда крашусь, очень классно увеличивает 👄 

💓 Мой любимый Lip Gloss сейчас - Ciate Dewy gloss в оттенке Revelation, ооочень приятный и безумно красиво смотрится, не слишком блестит и не липнет, я в восторге

💓 Праймер для ресниц Latte Milano: наношу его перед любой тушью! Уплотняет и удлиняет дополнительно реснички! 

💓 Бронзер и пудра от Charlotte Tilbury, если не знаете что купить у Шарлотт в первую очередь, то это два моих самых любимых продукта, оттенок (medium) бронзера идеален, а пудра очень круто «фотошопит» лицо.

💓 Черная подводка Eva Mosaic, очень легко наносится, держится идеально и без «припечатываний» 

💓 Любимый карандаш Inglot 353 (либо 318 если хотите чуть розовее) идеально сочетается с блеском Ciate 😋",рассказать последний фаворит декоративный косметика использовать     тёмный оттенок 2 шикарно выглядеть кожа забивать пора красивый ровный тон главное тёмный тон мой кожа загар идеально понравиться последний интеграция   моно тень несколько оттенок самый красивый базовый тёплый блестящий оттенок номер 25 красиво смотреться напоминать моно тень наташа денона кремовый румяный – собирать тон 1 2 наноситься пятно тд мятный плампер губа   наносить краситься классно увеличивать любимый      оттенок  ооочень приятный безумно красиво смотреться блестеть липнуть восторг праймера ресница   наносить любой тушь уплотнять удлинять дополнительно ресничка бронзер пудра   знать купить шарлотта первый очередь мой самый любимый продукт оттенок  бронзер идеальный пудра круто «фотошопит» лицо чёрный подводка   легко наноситься держаться идеально «припечатываний» любимый карандаш  353 либо 318 хотеть розовый идеально сочетаться блеск  ,2,6
32,"Дочь эмира Дубая объявила мужу о разводе через инстаграм. У принцессы больше 700 тысяч подписчиков.

«Дорогой муж, поскольку ты занят другими спутниками, я объявляю о нашем разводе. Я развожусь с тобой, я развожусь с тобой, Я Развожусь С Тобой»

Хочу почитать ее тред про ЧТО БЫЛО.",дочь эмир дубай объявить муж развод инстаграм принцесса 700 подписчик «дорогой муж поскольку другой спутник объявлять наш развод разводиться разводиться разводиться тобой» хотеть почитать тред,5,0
33,"Очень хочу поговорить с вами про липофилинг, особенно на лице, очень интересует данная процедура. И сколько держится? 

Но до этого, хочу рассказать про кейс подруги, которая делала грудь у французского хирурга, там интересна методика – когда тебе ставят имплант на мышцу и обкладывают это все собственным жиром, чтобы выглядело максимально реалистично. Думаю такой кейс был у Кендалл Дженнер. 
Ей же (подруге) пользуясь случаем выкачки жира еще сделали липофилинг в губы, под глаза и щечки. И все держится уже много лет, хотя я вижу кейсы когда люди переделывают раз в 1-2 года. 

Короче, кто тут знаток, хочу жир в рожу 🤣",хотеть поговорить липофилинг лицо интересовать дать процедура держаться хотеть рассказать кейс подруга делать грудь французский хирург интересный методика – ставить имплант мышца обкладывать собственный жир выглядеть максимально реалистично думать кейс кендалл дженнер подруга пользоваться случаем выкачка жир сделать липофилинг губа глаз щёчка держаться видеть кейс переделывать 12 короче знаток хотеть жир рожа 🤣,5,0
