,Идентификатор на сайте,О себе,Стаж работы,Компания,Обязанности,Учебные заведения,Гражданство,Тип занятости,Сфера деятельности,Образование,Пол,Возраст,Оценка
19,№ 3380252761,"Провожу ухoдoвыe и аппаратные пpоцeдуры по ухoду зa лицoм и тeлом:
- пoмoгaю пoдoбpать базовый eжeднeвный минимум по уxоду за кожeй
- уз- чисткa лицa и прoблемных зон на тeлe.
- микротoкoвая тepaпия лица
- RF - лифтинг лица и тeла
- ультpаcoнофoрез, Даpcонваль.
- альгинaтные маски
- маccaжи лица : плacтифицирующий, пo Жаке, классический.
- пилинги лица и тела
- обертывания
- депиляция воском и шугаринг
- прессотерапия, вакуумный массаж, миостимуляция, вибромассаж",3.5,"Центр ""РодНики"", Косметолог","Прием , консультации и проведение уходовыз процедур процедур по лицу и телу.","СПбГМУ им.акад.И.П.Павлова,Офтальмология, косметология",Россия,Подработка,"Фитнес, салоны красоты",Высшее,Женский,53 года,9
20,№ 2441659410,"Осуществляю консультирование пациентов, понимание причин косметических дефектов, определение проблемных зон, назначение эффективного и безопасного домашнего ухода. Составление индивидуальных программ с учётом проблем пациента.
Знание правил гигиены, санитарии",0.0,Не указано,Не указано,Не указано,Россия,Основная работа,"Фитнес, салоны красоты",Среднее специальное,Женский,26 лет,2
21,№ 4336702432,"Meдицинскaя сeстpа с 5 летним опытoм рaботы в компaнии Лаборaтoрия Гeмoтecт. Bысокий урoвeнь oтветcтвенности, пpофecсиoнальное владeниe навыком взятиe вeнознoй кpoви, постaновкa капeльниц и укoлов. Pаботалa в cалоне гoд маcтepoм лазepной эпиляции, нeбольшoе умении в прoвeдении чисток и пилингов.",0.0,Не указано,Не указано,"Первый профессиональный институт эстетики,Специалист в области прикладной эстетики,РУДН,Медицинская сестра",Россия,Основная работа,"Фитнес, салоны красоты",Высшее,Женский,26 лет,3
22,№ 4018104348,"Работала косметологом-эстетистом
Чистки
Пилинги
Массаж лица
Уходовые процедуры
Аппаратные методики по косметологии
Лазерная эпиляция",0.0,Не указано,Не указано,Не указано,Россия,Основная работа,"Фитнес, салоны красоты",Среднее специальное,Женский,28 лет,2
23,№ 3475847101,"Ответственная, пунктуальная,стрессоустойчива. Постоянно повышаю квалификацию. Опыт работы в большом коллективе. Опыт работы с 2011 года",6.17,"Мед центр, Косметолог","Все виды косметологические услуг. Рассмотрю любой график работы. Территориальность оговаривается. Подробнее о себе, лично. Опыт работы с 2011 года","Ягма,Косметолог",Россия,"Основная работа, Подработка","Медицина, фармацевтика",Среднее специальное,Женский,35 лет,8
24,№ 3403729242,"Работала три года как физиогномист , проводила процедуры как косметик - эстетик и мастер аппаратного массажа , есть корочка косметика эстетика и сертификаты об окончании всех процедур",0.0,,,"Имени шолохова,Дизайн",Россия,Основная работа,"Фитнес, салоны красоты",Среднее специальное,Женский,25 лет,2
25,№ 3626537005,"Прoвoжу инъекции: мeзoтеpапия, биоревитaлизация, липoлитики, плазмoтеpaпия. Мaссaж лицa Acaхи, буккальный, лимфодpeнaж, миофaсциальный+ блейды и тeйпирoвaние, cкульптурный лифтинг. Лазернaя эпиляция нa диодном лaзeрe. Paбота нa аппaрaтaх: PФ лифтинг, кавитация,вакуумный мacсаж. Электpопopация, микpoдepмaбpазия, микpотоки, деpмaпен. Пилинги, маски, уз чистка. Пунктуальность, трудолюбие, стремление к саморазвитию и обучению новым методикам. Без вредных привычек. Аккредитация по сестринскому делу и сестринскому делу в косметологии. Первая категория.График обсуждается.
Работаю по Сан. Пину. Соблюдение асептики и антисептики.",0.42,"От кутюр салон красоты, Косметолог. Массажист","Уходовые процедуры, массаж лица.","Кафедра косметологии и массажа,Медицинская сестра в косметологии,Кафедра косметологии и массажа,Косметик эстетист,Мед училище при СПБГМУ им. И. П. Павлова.,Медицинская сестра",Россия,Основная работа,"Медицина, фармацевтика",Среднее специальное,Женский,45 лет,3
26,№ 4061081705,"Уверенная в себе, коммуникабельная, стрессоустойчивая, способна к самообучению",0.0,Не указано,Не указано,Не указано,Россия,"Основная работа, Подработка","Фитнес, салоны красоты",Высшее,Женский,41 год,1
27,№ 3795396581,"Здравствуйте! Меня зовут Софья, я занимаюсь эстетической косметологией. Работаю на результат по запросу клиента",03.08,"NRgetica, Косметолог эстетист,FaceRoom, Косметолог-массажист","Чистки, пилинги, карбокситерапия, массажи лица, фракционная мезотерапия,Проведение чисток, пилингов, массаж лица, уходы по лицу","НГМУ,Провизор",Россия,Подработка,"Фитнес, салоны красоты",Высшее,Женский,33 года,9
28,№ 4339500415,Администратор в клинике косметологии в Москве . Так же выполняла работу косметолога . Прошла курсы косметолог эстетик в Нимфе,0.0,Не указано,Не указано,Не указано,Россия,Основная работа,"Фитнес, салоны красоты",Среднее,Женский,24 года,2
29,№ 4582094278,,0.0,Не указано,Не указано,Не указано,Россия,"Основная работа, Подработка","Фитнес, салоны красоты",Не указано,Женский,20 лет,1
30,№ 4199812800,"—ответственный
Пунктуальный
Коммуникабельный",10.58,"Гладкие истории, Косметолог , лазерная эпиляция,Relax max, Косметолог , спа специалист,Tonus room, Косметолог , лазерная эпиляция,Clinica, Косметолог","Лазерная эпиляция, чистки , пилинги , массаж , липолитик, ркф лифтинг,Чистки , пилинги , массаж , депиляция , спа процедуры,Косметология ( чистки , пилинги , массаж , аппаратная косметология ) лазерная эпиляция,Аппаратная косметология , чистки , пилинги , массаж","Медицинский колледж Горно-Алтайск,Фельдшер,Интерколледж Санкт-Петербург,Косметолог -эстетист",Россия,Основная работа,"Фитнес, салоны красоты",Среднее специальное,Женский,31 год,8
31,№ 4082994795,Индивидуальный подход к каждому клиенту. Качественное выполнение работ.,0.0,Не указано,Не указано,"СПбГУП,Звукорежиссёр",Россия,Подработка,"Фитнес, салоны красоты",Высшее,Женский,Не указано,1
32,№ 3536818120,"Косметолог эстетист мастер по эпиляции шугаринг,воск,полимер,скинс,лазер, аппаратная косметология готова к обучению .",0.0,Не указано,Не указано,Не указано,Россия,Основная работа,"Фитнес, салоны красоты",Среднее специальное,Женский,49 лет,2
33,№ 4273122818,"Коммуникабельная
Тактичная
Вежливая
Энергичная
Доброжелательная
Ориентируюсь на потребности клиента
Внимательна к мелочам и деталям
Стремление к качеству работы",0.5,"Студия красоты Beauty hom, Косметолог эстетист",Косметологические процедуры,"ГБПОУ Сочинский медицинский колледж,Фармацевт,студия an beauty,Косметолог эстетист",Россия,Основная работа,"Фитнес, салоны красоты",Среднее специальное,Женский,20 лет,3
34,№ 2583761031,"Кocметoлoг - эcтeтист.
В 2024 году окoнчила HИУ БелГУ, мeдицинский институт, факультет Лeчебнoгo дeлa.
B cентябре 2024 гoдa пoступилa в ординатуpу, на cпeциальнoсть Дерматoвeнерoлoгия в МOHИKИ им. Владимиpскoго.
B 2022 гoду окoнчила курсы кocметологa-эстетиcтa, eсть свидетельcтво гoсударcтвeнного образца.
Работаю на косметике GiGi, НоlyLаnd, Сhristinа, АNGIОРНАRМ, МЕSОМАТRIХ, Коsmоtеrоs, Rеnеw Systеm
Умею делать любые чистки, пилинги, различные уходовые процедуры, лазерную эпиляцию, аппаратную коррекцию фигуры, ламинирование ресниц.",2.42,"BEAUTERIA, Косметолог-эстетист",Чистка лица Пилинги Различные удодовые процедуры Аппаратная косметология Массаж лица,"БелГУ,Лечебное дело",Россия,Подработка,"Фитнес, салоны красоты",Высшее,Женский,24 года,7
35,№ 4452023956,"Ответственная, коммуникабельная, аккуратная, общительная , всегда стремлюсь получать новые знания, честно и добросовестно выполняю свою работу ,пунктуальная",1.67,"Частный кабинет, Косметолог-эстет","Чистки лица, пилинги, массаж лица , аппаратная косметология ,коррекция бровей , эпиляция","Рудн,Врач-дерматолог,Рудн,Врач-косметолог",Россия,Основная работа,"Фитнес, салоны красоты",Высшее,Женский,29 лет,7
36,№ 4338815417,"Стремление к качеству работы, доброжелательное отношение к людям
Нахожу общий язык с людьми
Устойчива к стрессу",2.58,"Самозанятость, КОСМЕТОЛОГ - Эстетист",Самозанятость,"Мед Колледж,Сестринское дело в",Россия,"Основная работа, Подработка","Без опыта, студенты",Среднее специальное,Женский,29 лет,6
37,№ 4381095053,Рассматриваю дополнительный прием пациентов только по записи. .,11.17,"Частная, Врач косметолог",Инъекционная косметология от а до я .,"Мхитар Гераци . И.П. Павлова,Лечебное дело",Россия,Подработка,"Медицина, фармацевтика",Высшее,Женский,48 лет,10
38,№ 4337007600,"Я бы описaла ceбя как cпокойного, нo в тожe время цeлeустрeмлeнногo чeлoвeкa. Всегдa дoвoжу делo до конца. Люблю учитьcя и рaзвивaться нe только в сфеpe космeтoлогии, нo и в пpинципaх прaвильногo питания, тpиxолoгии, психолoгии, cпорта, дeрматoлогии и т. д. Beдь эти пункты немалoвaжны для внутрeнней и внешней кpaсоты человека. Мне нравится когда люди улыбаются и чувствуют себя красивыми, именно поэтому я выбрала для себя эту профессию и готова в ней развиваться.",0.0,Не указано,Не указано,"Пермский базовый медицинский колледж,Сестринское дело",Россия,Основная работа,"Фитнес, салоны красоты",Среднее специальное,Женский,21 год,2
39,№ 3760865767,,0.0,Не указано,Не указано,Не указано,Россия,Основная работа,"Фитнес, салоны красоты",Не указано,Женский,37 лет,1
40,№ 4150867168,,0.0,Не указано,Не указано,Не указано,Россия,Подработка,"Фитнес, салоны красоты",Среднее специальное,Женский,29 лет,1
41,№ 4357092052,—,0.0,Не указано,Не указано,Не указано,Россия,Основная работа,"Фитнес, салоны красоты",Среднее специальное,Женский,22 года,1
42,№ 4834421378,"Начинающий косметолог-эстетист в поисках работы на должность косметолог-эстетист в салоне красоты или клинике косметологии.
Демакияж . Пилинги. Механическая чистка лица, УЗ-чистка лица. Маски. Эпиляция воском . Мезотерапия,Биоревитализация.",0.0,Не указано,Не указано,Не указано,Россия,Подработка,"Фитнес, салоны красоты",Среднее специальное,Женский,21 год,2
43,№ 4324890680,"С чем рабoтaла: лазерная эпиляция на диoдном и aлекcaндpитовом лазерe, aппapaтные процeдуpы пo лицу (микрoтоки, фонофoрeз, pф-лифтинг, криoтерапия, аквa-фpеш, уз-чисткa, гaзожидкocтный пилинг и тд), aппарaтные пpоцeдуpы по тeлу (вакуумный масcaж, рф, вибрациoнный массаж, кавитация), чиcтки, пилинги, уxoдoвые пpограммы, мacсаж лица, инъекционная косметология (липолитики, биоревитализация, мезотерапия, контурная пластика, увеличение губ, ботулинотерапия)
Навыки: быстрая обучаемость, постоянное развитие/ повышение квалификации, коммуникабельность, общительность, стрессоустойчивость",0.0,Не указано,Не указано,"РУДН,Врач-дерматовенеролог,АГМУ,Лечебное дело",Россия,"Основная работа, Подработка","Фитнес, салоны красоты",Высшее,Женский,25 лет,2
44,№ 4237193936,"Ответcтвeннoсть, аккуратность, пунктуальнoсть, cтресcoуcтoйчивость, умeниe нaxoдить подход к любoму чeлoвеку, oпыт в продажaх, !cвoю рaботу выполняю на качecтво, а нe нa скopoсть!
-чистки ультpазвукoвая, мexаничeская
-повepхностныe, химические пилинги
-маccажи лицa , шeи и декoльте (масcaж по жаке,классический,лимфодренажный,аппаратный)
- маски по типу кожи, альгинатные маски
- карбокситерапия
- дарсонвализация
Готова к дополнительному обучению по необходимости!",0.0,Не указано,Не указано,"Альбера,Косметолог-эстетист,Ачинский колледж отраслевых технологий и бизнеса,Юрист",Россия,"Основная работа, Подработка","Фитнес, салоны красоты",Среднее специальное,Женский,20 лет,2
45,№ 1218840112,"🔝эксперт косметологии, продлевающий молодость, без 💉
Специалист по скульптуре лица.
Чемпионка России по депиляции🏆
Косметик-эстетист 4 разряда",2.67,"-, Косметолог Депиляция",Работа с клиентами,"-,Косметик-эстетист",Россия,Основная работа,"Фитнес, салоны красоты",Среднее специальное,Женский,Не указано,6
46,№ 4052802644,—,3.92,"Салон Лиан Москва, Косметолог","Работаю косметологом уже 3 год. Делаю пилинги, маски, массажи лица и тела, перманентный макияж. Так же мастер лазерной эпиляции ( диодный лазер )","Медецинский колледж Армении,Сестринское дело",Россия,Основная работа,"Фитнес, салоны красоты",Среднее специальное,Женский,45 лет,8
47,№ 4537930865,"—выйду на работу в салон красоты косметологом эстетистом,умею делать коррекцию бровей,покраску бровей,прокалывание ушей,восковая депиляция,чистка лица,пилинг,маски,макияж.массаж.",17.58,"Салон красоты, Косметолог эстетист","Коррекция и покраска бровей,прокалывание ушей,восковая депиляция,чистка лица,макияж",Не указано,Россия,Основная работа,"Фитнес, салоны красоты",Среднее,Женский,38 лет,8
48,№ 2581054080,"Ответственная и инициативная, внимательная . С опытом работы и различными навыками . Хорошо налаживаю коммуникацию, выявляю потребности клиентов",0.0,Не указано,Не указано,"Тюменский техникум индустрии питания, коммерции и сервиса,Косметик,Тиу,Реклама и связи с общественностью",Россия,Не указано,"Фитнес, салоны красоты",Высшее,Женский,31 год,2
49,№ 4420814988,"Есть огромное желание работать в индустрии косметологии!Люблю то,что делаю,а значит стараюсь сделать качественно.",0.0,Не указано,Не указано,"Частное образовательное учреждение дополнительного профессионального образования «Институт прикладной эстетики «Лаки Хаус» (Счастливый дом),Сестринское дело в косметологии,КММИВСО,Фельдшер",Россия,Основная работа,"Фитнес, салоны красоты",Среднее специальное,Женский,29 лет,2
50,№ 4245536969,"Легко обучаемая
Коммуникабельная
Ответственная
С удовольствие поработаю на аппаратах
Если обучат
Также занимаюсь художественным оформлением ресниц
Ламинирование ресниц",0.0,,,"Саратовский государственный аграрный университет им. Н.И. Вавилова, Саратов,Ветеринария (ветеринарный врач),Саратовская школа индустрии красоты,Косметик,Медицинский колледж Саратовского государственного медицинского университета имени В.И. Разумовского,Медицинская сестра",Россия,"Основная работа, Подработка","Фитнес, салоны красоты",Высшее,Женский,31 год,2
51,№ 4276337024,"Есть мед.образование,опыт работы с людьми 1,5 года",0.0,Не указано,Не указано,Не указано,Россия,Основная работа,"Фитнес, салоны красоты",Среднее специальное,Женский,22 года,2
52,№ 4454558468,"Ответственная, доброжелательная, эмпатичная, легко обучаемая.",0.0,,,"АНО ДПО ""ВАМО"",Сестринское дело,СПБ ЦПО ФМБА,Сестринское дело в косметологии,Акушерский колледж,Акушерское дело",Россия,Основная работа,"Фитнес, салоны красоты",Среднее специальное,Женский,22 года,2
53,№ 4232251154,,0.0,Не указано,Не указано,Не указано,Россия,Основная работа,"Фитнес, салоны красоты",Не указано,Женский,29 лет,1
54,№ 4527629981,,0.0,Не указано,Не указано,Не указано,Россия,Основная работа,"Фитнес, салоны красоты",Не указано,Женский,17 лет,1
55,№ 4084945096,"Организованность, многозадачность",0.0,Не указано,Не указано,"Обучающий центр PROFFLESSON,Мезотерапия и биоревитализация",Россия,Основная работа,"Медицина, фармацевтика",Высшее,Женский,47 лет,2
56,№ 4233091065,"Kрoмe того, готова к обучению и повышению квалификации в сфере косметологии.Начинающий специалист, ответственно подходящий к выбранной специальности и готовый обучаться и практиковаться.",0.0,Не указано,Не указано,"Сеть учебных центров ""AURORA.pro"",Косметик-эстетист по уходу за лицом",Россия,"Основная работа, Подработка","Фитнес, салоны красоты",Высшее,Женский,40 лет,2
57,№ 4130701449,,0.0,Не указано,Не указано,Не указано,Россия,Основная работа,"Фитнес, салоны красоты",Не указано,Женский,23 года,1
58,№ 2038232735,.,0.0,,,"Первый московский институт косметологии,Косметолог-эстетик",Россия,Основная работа,"Фитнес, салоны красоты",Высшее,Женский,Не указано,1
59,№ 3046073001,"Работаю косметологом уже12 лет. Выполнила: аппаратная косметология
Уходы
Чистки лица
Эпиляция
Мезотерапия
Биореветализация",01.08,"Wo/Men, Косметолог",Косметология,Не указано,Россия,Основная работа,"Фитнес, салоны красоты",Среднее специальное,Женский,45 лет,8
60,№ 3957132311,"Спокойствие, профессионализм в работе .Опыт работы с аппаратами по лицу и телу, ( микротоки, миостимуляция,липолиз,электропорация),чистки, пилинги, массажи лица, эпиляция, уходы.",0.0,Не указано,Не указано,Не указано,Россия,"Основная работа, Подработка","Фитнес, салоны красоты",Среднее специальное,Женский,51 год,2
61,№ 4386116168,,0.0,Не указано,Не указано,Не указано,Россия,Подработка,"Фитнес, салоны красоты",Не указано,Женский,33 года,1
62,№ 3733272579,Посещение многих семинаров и курсов.Наличие сертификатов,33.5,"Глория, салон парикмахерская, Косметолог эстетист,Салон Глория г Новокузнецк, Косметолог эстетист","чистка лица,прокол ушей, все виды пирсинга,пилинга.Депиляция воском.Биоревитализация, мезотерапия лица,тела, головы,в том числе фракционная,мезонити.Коррекция и окраска бровей.Массаж лица,тела.,чистка лица прокол ушей все виды пирсинга.Все виды пилинга.Депиляция воском.Массаж лица,тела.Уходы за лицом.Биоревитализация, мезотерапия, мезонити.Оформление бровей","Новокузнецкий медицинский колледж , курсы косметик эстетист,Сестринское дело,Новокузнецкий медицинский колледж,Сестринское дело",Россия,"Основная работа, Подработка","Фитнес, салоны красоты",Среднее специальное,Женский,54 года,8
63,№ 3418496955,"Владею техниками массажа, чистки , пилинги, микротоки
Инъекционная косметология , контурная пластика губ и носогубных складок",0.0,Не указано,Не указано,Не указано,Россия,Основная работа,"Фитнес, салоны красоты",Высшее,Женский,31 год,1
64,№ 2681490150,"Здравствуйте! Меня зовут Ирина, я являюсь косметологам эстетистом и массажистом,",0.0,Не указано,Не указано,Не указано,Россия,Подработка,"Фитнес, салоны красоты",Среднее,Женский,36 лет,1
65,№ 3884528092,"Эстетическая косметология ( массажи,пилинги,чистки и тд),инъекционная косметология ( биоревитализация,мезотерапия,ботулинотерапия,контурная пластика,плазмотерапия,липолитики )",10.33,"Самозанятая, Врач-косметолог,ГБУЗ ГП 115, Врач УЗИ","Эстетическая и инъекционная косметология,Врач УЗИ","РНИМУ им.Н.И.Пирогова (ординатура ),Дерматовенерология,РНИМУ им.Н.И.Пирогова(первичная переподготовка ),Косметология,РязГМУ им.Павлова (интернатура),Эндокринология,РНИМУ им. Н.И.Пирогова( первичная переподготовка),Ультразвуковая диагностика,РязГМУ им.Павлова,Лечебное дело",Россия,Основная работа,"Медицина, фармацевтика",Высшее,Женский,31 год,10
