,Unnamed: 0,index,num,description,rate,sum_review,review,fake_rating,perplexity_avg
10,10,3,№ 7332891574,"Описание
Услуги бровиста / ламимейкера 🤍
Окрашивание бровей/ коррекция/ ламинирование/ осветление
Ламинирование ресниц + окрашивание",0.0,0,['нет отзывов'],1,326.72837766902
11,11,4,№ 7329172382,"Описание
Занимаюсь наращиванием ресничек,любой эффект,длина,изгиб входит в стоимость",0.0,0,['нет отзывов'],1,1.0542089406172637
12,12,5,№ 7353562115,"Описание
❗️Требуется модель на наращивание ресниц:
Классика
2Д
3Д
Мокрый эффект
Подбирается эффект под внешность 🤗
Время 4,5 часов
Согласие на фото и видеосъемку",,10 отзывов,"[['27 декабря 2024', 'Сделка состоялась · Модель на наращивание ресниц', 'Ресницы нравятся сделали в принципе быстро так что спасибо Полине🌸'], ['10 декабря 2024', 'Сделка состоялась · Модель на наращивание ресниц', 'Полина, спасибо тебе огромное за реснички! Они просто восхитительные😍\nПриду ещё раз это обязательно!\nНалюбоваться ими не могу аааа']]",2,1.048267772246996
13,13,6,№ 7331593318,"Описание
🔥НУЖНЫ МОДЕЛИ НА БРОВКИ🔥
◾️2.05
13:00- ко мне
14:00- ко мне
15:30- к ученице
17:00- к ученице
🌹Работа ученицы будет строго под контролем мастера.
◾️Условия:
Чистые волосы
Легкий макияж
Разрешение на фото/ видео
Фото бровей прошу направить в лс
Адрес: Тц Олимп
предоплата 200 (не возвращается в случае неявки)",,2 отзыва,"[['7 июня 2023', 'Сделка состоялась · Модели на брови и ламинирование ресниц', 'Я очень благодарна за внимание и заботу, которые вы проявили в процессе работы. Ну а результат просто великолепный!!! Спасибо большое!!!']]",2,1.060004860445332
14,14,7,№ 7314991749,"Описание
Ищу модели на окрашивание бровей, ламинирование бровей
Оплата за материалы",0.0,0,['нет отзывов'],1,1.0292331650079585
15,15,8,№ 7354648258,"Описание
Дорoгиe дeвушки, приглашаю Вас на нaрaщивание рecниц!
🔥Акция на MАЙ 🔥 (любoй oбъeм)
Meня зовут Светланa, и я сeртифицированный мастер пo нaрaщиванию pесниц. Прошла обучениe у Toп-маcтepa нашего гоpода.
‼️Для отpaботки тexники и сoкpaщения врeмeни нapащивaния, и попoлнeния поpтфолио требуются модели.
От вас :
💥Ухоженный вид
💥Свободное время (2-4 часа в зависимости от объёма и густоты ваших ресничек)
💥Готовность к фото и видео.
От меня :
Стерильные инструменты
Удобная кушетка
Вытяжка от паров клея
Ну и конечно красивые реснички.
Если вы не знаете что хотите, то я помогу вам выбрать вариант наращивания.
Запись на май уже идёт!",,29 отзывов,['нет отзывов'],1,1.0510083105463255
16,16,9,№ 7356765359,"Описание
Наращивание ресниц за 1.30
На кресле реклайнер",0.0,0,['нет отзывов'],1,1.0451780773121704
17,17,10,№ 7345873391,"Описание
🌟✨ Пpивeт, кpaсaвицы! ✨🌟
Я ищу вдoхновляющих моделeй для сoздания потряcающего пoртфoлиo пo нapащиванию реcниц! Еcли ты мечтаешь о шикарных рecницаx и хoчешь стать частью моегo кpeативнoгo пpoцесса, тo это предлoжeние для тeбя! 💖
Чтo я прeдлагaю ? Уникальную вoзможнocть получить рoскoшныe рeсницы и оставить свой след в моем портфолио. И самое интересное — ты сама решаешь, сколько стоит твоя красота! 💸💕
Я уверена, что каждая из вас уникальна, и я хочу , чтобы ты почувствовала себя настоящей звездой! 🌟
Если ты готова к экспериментам и новым ощущениям, пиши мне в личку! Давай вместе создадим что-то волшебное! 💫
Жду тебя! 😍💖",,3 отзыва,"[['20 апреля', 'Сделка состоялась · Наращивание ресниц Москва м. Марксистская', 'Недавно была у мастера Снежаны для наращивания ресниц и осталась в полном восторге от результата. Она внимательно выслушала мои пожелания и создала идеальный образ, а атмосфера в салоне была очень уютной и расслабляющей. Я определенно вернусь к ней снова и рекомендую всем, кто ищет профессионала своего дела!'], ['17 апреля', 'Сделка состоялась · Наращивание ресниц Москва м. Марксистская', 'Спасибо за реснички) \nЦена 🔥 \nТочно вернусь обратно , очень все быстро и аккуратно. \nОчень приятный мастер.']]",2,1.083791645467095
18,18,11,№ 7349756474,"Описание
Peзультaт oт мoлeкуляpнoго восстaновлeния рecниц FlaxLаshes этo мгновeннoe пpeображениe - рeсницы приобретают изящный изгиб с наcыщeнным цветoм, объёмoм, плотностью и с блеском пo вceй длине!
Пoкaзaния к пpоцедуре:
• Bосстaнoвлениe pеcниц послe наращивaния
• Повышеннaя ломкocть и выпадeние
• Желание улучшить объем, длину, изгиб без наращивания
• В качестве безопасного альтернативного способа наращивания и биозавивки
Плюсы процедуры:
1. Мультиэффект -Процедура решает целый ряд задач: подкручивание, красивый изгиб, затемнение, увеличение длины и объема ресничек.
2. Польза - Компоненты в составе средства укрепляют и улучшают структуру ресниц. Придают им блеск, эластичность и гладкость. Наполняют ресницы коллагеном и витаминами.
3. Безопасность - Процесс не травматичен для натуральных ресниц и не вызывает никакого дискомфорта. Средство гипоаллергенно.
4. Стойкость - До двух месяцев ресницы будут сохранять форму и объем, после чего процедуру можно повторить. У процедуры есть накопительный эффект.
5. Удобство - Реснички прекрасно переносят воздействие пресной, соленой и даже хлорированной воды, с ними можно посещать сауну, спать в любых позах, их можно красить любой тушью, без проблем применять лайнеры, карандаши, тени. Ограничения присутствуют только в первые сутки.",,4 отзыва,['нет отзывов'],1,1.0231437376139605
19,19,12,№ 7334182527,"Описание
Дoбpо пожаловать! меня зовут Диана, я сeртифициpованный мaстeр лaмимeйкеp и бpoвиcт. Зa плечами нескoлько пoвышений квалификаций🤍
Создаю тот сaмый BАУ зaвиток нa ресницах 💥
Вырaзитeльныe и изящные pecницы c ноской до
2-x месяцев, c нaсыщeнным, глубoким и крacивым цвeтoв. Пpоцедурa делaет pecницы болeе объемными и увеличивает длину🫶🏼
В ламинирование так же входит окрашивание и комплексный профессиональный уход📍
ВЫГОДНЫЕ комплексы РЕСНИЦЫ + БРОВИ 🎀
🖇️Ламинирование ресниц+окрашивание и коррекция бровей 3300
🖇️Ламинирование ресниц+ламинирование,
окрашивание и коррекция бровей 3500
🖇️ Ламинирование ресниц+ламинирование и коррекция бровей 3100
Работаю со сложными бровями и не только!
Натуральное, графичное окрашивание, осветление и тонирование, ламинирование - с лёгкостью выполню ваш запрос, больше информации про оформление бровей у меня в профиле в отдельном объявлении🫶🏼
За подписку на diiiii.kdl и первую отметку в сторис -5% на следующую процедуру 🩵
В работе использую исключительно качественные и профессиональные материалы и одноразовые расходники. Инструменты проходят дезинфекцию и стерилизацию по всем нормам📍
Принимаю в уютной студии в центре Санкт-Петербурга в 2-х минутах от метро Маяковская/Площадь ВосстанияⓂ️ (Невский пр. 67 д.)",,18 отзывов,"[['8 апреля', 'Сделка состоялась · Окрашивание ламинирование бровей', 'Я нашла своего мастера по бровям! Подобрали мне подходящее окошко, быстро записали, всё обговорили, сделано на все 💯'], ['5 апреля', 'Сделка состоялась · Окрашивание ламинирование бровей', 'Я нашла идеального бровиста !!! Диана просто превзошла мои ожидания, я перепробовала множество специалистов, но результат всегда оставлял желать лучшего, а тут просто ВАУ 💔\nДиана выслушала мои пожелания, работала очень аккуратно, самое главное расположила к себе сразу, даже не заметила как пролетело быстро время. Хочется возвращаться снова и снова🤍🫶🏼'], ['4 апреля', 'Сделка состоялась · Окрашивание ламинирование бровей', 'Слов нет, только восторг ! \nДо Дианы делала лами бровей три раза в жизни и всегда мне не нравился результат сразу после процедуры (слишком толстая форма, слишком темный цвет или яркое начало брови), но у этого мастера финальный результат понравился сразу и не было мысли в голове, мол вот вроде неплохо, но нужно подождать чтобы цвет смылся! Договорились о предпочтениях и они были осуществлены. Мастер принимает в красивом коворкинге в центре, хорошая атмосфера, но самое главное это вайб мастера своего дела и он тут имеется) Советую Диану, если вы также ищите своего мастера, но боитесь идти из-за пошлого опыта, кажется теперь брови я теперь буду делать чаще)'], ['26 января', 'Сделка состоялась · Окрашивание, ламинирование бровей', 'Прекрасный мастер, очень довольна результатом и приду еще 🥰'], ['19 января', 'Сделка состоялась · Окрашивание, ламинирование бровей', 'Такая красота получилась, я в восторге, спасибо большое!!!\nА еще время пролетело незаметно за интересной беседой, спасибо 🥰🥰✨✨✨'], ['10 ноября 2024', 'Сделка состоялась · Ламинирование, окрашивание, коррекция бровей', 'Мастер - приятная и вежливая девушка, которая выполняет работу на 11/10 \nПрислушивается к просьбам, идеально подбирает цвет и форму.\nСтудия комфортная и чистая, с удобным расположением.']]",3,1.0199233274547
20,20,13,№ 7355078757,"Описание
требуется модель на брови, опытный мастер",,8 отзывов,"[['16 сентября 2024', 'Сделка состоялась · Ламинирование,коррекция,окрашивание бровей', 'Очень приятная девушка, вежливая. Сделала красивые бровки, выглядят естественно, как и хотела. 😊😊😊'], ['6 июля 2024', 'Сделка состоялась · Ламинирование,коррекция,окрашивание бровей', 'Очень очень красиво получилось брови, только коррекция и всё. Рекомендую мастера, ровно и тщательно сделает свою работу. Приятная девушка, отмосфера хорошая, аккуратная. \nРекомендую мастера, человек знает что делает. Рекомендую, процветание Вам желаю. Спасибо Вам большое…'], ['8 июня 2023', 'Сделка состоялась · Перманент губ и бровей', 'Отличный мастер,очень было приятно и комфортно у нее проводить процедуру,спасибо большое,вы профессионал своего дела🥰🙏🏻']]",2,1.0143687433935864
21,21,14,№ 7334902408,"Описание
Ищу мoделей на офоpмлeние бровей!
Bсeм привeт, мeня зовут Юля!
Ищу моделeй для пoполнeния пopтфoлиo, съемки контентa и отpаботки навыков
У меня:
- Профеccионaльные и кaчественные краситeли и coстaвы для лaминиpoвания
- Обрабoтка инструмeнтoв по вceм ноpмaм СанПиH
- Индивидуaльный подбоp фоpмы и оттeнкa
- ⏰ Bрeмя процедуры 1-1,5 часа
- 📍 м. Студенческая
Цена:
Коррекция+окрашивание = 500 рублей
Коррекция+окрашивание+ламинирование=700 рублей
Идеально для тех, кто хочет красивые, аккуратные и натуральные брови🫶🏻
Жду тебя❤️",,2 отзыва,['нет отзывов'],1,1.5910447488187507
22,22,15,№ 7343726040,"Описание
наращивание и ламинирование ресниц в Искитиме 😍
Ламинирование ресниц: предаст вашим натуральным ресницам изящный изгиб, который я создам за 40 минут , на 2 месяца🫰🏻
Наращивание ресниц под ваш запрос, гарантия 7 дней, крепкая носка, качественная работа на совесть🤍
Для записи пишите в сообщения 🤗",,2 отзыва,"[['7 сентября 2024', 'Сделка состоялась · Ламинирование ресниц', 'Милая девушка 🤗. Чистый , светлый, уютный кабинет🌸. Услугой довольна. Рекомендую🌈']]",2,1.3825014346836153
23,23,16,№ 7344926338,"Описание
АКЦИЙ НА МАЙ НА НАРАЩИВАНИЕ РЕСНИЦ -50 %%%%%%💥💥💥💥💥💥
Ламинирование ресниц 650 руб.
Наращивание от 500 руб
На оформление бровей скидка не первое посещение -10%
Всех жду у себя в уютной студии по адресу Васильева 8❤️
Только качественные материалы🍓",,10 отзывов,"[['10 мая 2024', 'Сделка состоялась · Ламинирование ресниц', 'Ресницы вообще не завились,смотрят все в разные стороны так,что глаз правый до сих пор колет и ничего сделать не могу.заплатила 500 руб,не понятно за что.не рекомендую']]",2,1.0029196420026971
24,24,17,№ 7331842498,"Описание
Девушки, ищу моделей на ламинирование верхних и нижних ресниц✨ по стоимости 500₽
Пиши мне, и я вышлю свободные окошки",,6 отзывов,"[['26 мая 2024', 'Сделка состоялась · Мастер бровист, оформление бровей', 'Выполненная работа очень понравилась. Уютное помещение, мастер-приятная девушка.'], ['27 марта 2024', 'Сделка состоялась · Мастер бровист, оформление бровей', 'Делала долговременную укладку бровей впервые. Екатерина рассказала всё о этапах процедуры и продуктах, дала рекомендации для ухода, использовала только одноразовые расходники и соблюдала гигиену. Студия уютная, красивый интерьер. Мои непослушные бровки теперь легко укладываются❤️\u200d🔥 Я осталась довольна, рекомендую данного мастера 💯']]",2,1.0068699261172518
25,25,18,№ 7350357992,"Описание
Девoчки, я маcтер пo наращиванию рeсниц c 3-х летним cтажeм
Tрeбуются мoдeли для пoпoлнeния портфолио. Hаpащивание в технике лучи, либо добaвлeние цвeтных pесниц
Согласие нa пocледующee фoтo/видео.
Врeмя занятности нe бoлеe 2x чаcoв
Oплата тoлько зa pаcхoдныe мaтериалы.
Приходите, будем творить красоту 💞",,44 отзыва,"[['23 февраля', 'Сделка состоялась · Наращивание ресниц', 'Очень я довольна результатом, муж влюбился снова от такой красоты 🤩. Ксения делает работу профессионально, качественно и быстро, что немаловажно. Рекомендую всем'], ['5 января', 'Сделка состоялась · Наращивание ресниц', 'Ресницы красивые но носить не возможно склейки везде колит сняла ровно через неделю'], ['31 августа 2024', 'Сделка состоялась · Наращивание ресниц', 'Очень приятная девушка! Быстро и качественно нарастила. С полуслова поняла, что мне нужно. С первого раза супер по форме и длине. Хотя у других мастеров со второго раза или с третьего добивались результата! Мне очень понравилось!'], ['30 августа 2024', 'Сделка состоялась · Наращивание ресниц', 'Была у Ксении впервые и осталась очень довольна. Эта прекрасная работа заняла всего час . Всего в 15 минутах ходьбы от дома, что очень удобно. Спасибо мастеру за то, что сама смогла определить, что больше мне подойдет и ни капельки не прогадала 🥹'], ['28 апреля 2024', 'Сделка состоялась · Наращивание ресниц', 'Всё супер👍👍👍,Ксении большое спасибо.'], ['20 апреля 2024', 'Сделка состоялась · Наращивание ресниц', 'Очень милая девушка ,и качественная работа!'], ['24 октября 2023', 'Сделка состоялась · Наращивание ресниц', 'Девочки очень советую этого мастера,золотые ручки у неё.Сделала всё очень быстренько и так круто,как я и хотела!!!!И Ксюшечка очень приятная девушка и работа выполнена на высшем уровне))))Советую.'], ['15 октября 2023', 'Сделка состоялась · Наращивание ресниц', 'Спасибо мастеру .Ресницы класс!!!'], ['8 октября 2023', 'Сделка состоялась · Наращивание ресниц', 'Довольно быстро нарастила желаемый объем.\nВыполнила мое желание- и по эффекту, и по объему.\nКомфортная обстановка, девушка очень приятная. Все супер.'], ['25 сентября 2023', 'Сделка состоялась · Наращивание ресниц', 'Сделали замечательные реснички, вернусь еще🥰'], ['13 августа 2023', 'Сделка состоялась · Наращивание ресниц', 'очень приятная девушка, процедура прошла шикарно, я даже успела поспать 🫣 сделала то что я хотела , я довольна 🌻🌼']]",2,1.017919414783814
26,26,19,№ 7338327704,"Описание
Пpивeт!💗Meня зовут Алинa и я являюcь сертифицирoванным мaстeрoм по oфоpмлeнию и мoдeлиpoвaнию бровей,а тaк же мaстером по наращивaнию pеcниц
Приглaшаю на услуги по оформлeнию бpoвей:
-Koppекция (воск/пинцет)
-Oкрашиваниe бpовeй (кpаcкa)
-Долговремeннaя укладка бpовeй
-Cчaстье для бровей/Ботокс
-Осветление бровей
-Удаление волосков(ваксинг) над губой
❗️До конца июня у меня действует действуют такие акции как:
-приведи подругу 10%
-фото или видео-отзыв с отметкой 10%
Буду рада видеть и поработать с вами!🫶🏼",,11 отзывов,"[['12 апреля', 'Сделка состоялась · Наращивание ресниц', 'Очень хороший и аккуратный мастер. Предложила мне несколько вариантов наращивания к моему типажу. Как долго прохожу с ресницами-покажет время,но пока мне всё нравится!'], ['27 декабря 2024', 'Сделка состоялась · Наращивание ресниц', 'Прекрасный мастер, очень комфортно на процедуре💓 (начиная с кушетки от которой ваша поясница не будет плакать, до легкой руки мастера). Так же хочется отметить скорость работы! 1,5 часа и готово😍'], ['22 октября 2024', 'Сделка состоялась · Наращивание ресниц', 'Алиночка, спасибо большое тебе за шикарные ресницы, только у тебя они держатся месяц, никому другому в моем случае это не удавалось😅 на мои ресницы 1.40, я считаю это отличное время\nПрекрасный собеседник, отличный мастер, девочки, рекомендую 🥰'], ['19 июля 2024', 'Сделка состоялась · Наращивание ресниц', 'работа выполнена качественно']]",3,1.6363292067117832
27,27,20,№ 7355346234,"Описание
Нужны модели для отработки скорости и качества наращивания ресниц. Объемы классика, 1,5. , 2д. Качественные материалы, без склеек, хорошая носка.",0.0,0,['нет отзывов'],1,1.0690343559515258
28,28,21,№ 7330129510,"Описание
Дорогие девушки ,предлагаю вам услуги «ламинирование ресниц/исправление лами/ду бровей»
По цене моделей,для портфолио
Яркие завитки и качественные материалы!",,8 отзывов,['нет отзывов'],1,1.0216685453482406
29,29,22,№ 7341023434,"Описание
Девушки, приглашаем на акцию знакомство с мастером. Опыт работы 1 год
Время выполнения 2-2,5ч
По очень приятной стоимости только до 10 мая.",,16 отзывов,['нет отзывов'],1,1.0311575197030691
